"","Station","Expedition","Vessel","TaxGroup","Taxon","original_id","Dev_stage","Sex","Length","Abundance_m3","Abundance_m2","eventID"
"62","F 46-144","IYS2022","Franklin","cnidarian","Aglantha digitale","Aglantha digitale","","","> 10mm",0.06556,19.668,"IYS2022-Franklin-5-46-144-Bongo-1"
"63","F 46-144","IYS2022","Franklin","chaetognath","Chaetognatha","Parasagitta elegans","","",">= 5mm < 10mm",0.06556,19.668,"IYS2022-Franklin-5-46-144-Bongo-1"
"64","F 46-144","IYS2022","Franklin","euphausiid","Euphausia pacifica","Euphausia pacifica","adult","M","",0.03279,9.837,"IYS2022-Franklin-5-46-144-Bongo-1"
"65","F 46-144","IYS2022","Franklin","copepod","Oithona spp. C3-C5","Oithona similis","C5","","",1.04901,314.703,"IYS2022-Franklin-5-46-144-Bongo-1"
"66","F 46-144","IYS2022","Franklin","amphipod","Themisto pacifica","Themisto pacifica","adult","F","",0.0082,2.46,"IYS2022-Franklin-5-46-144-Bongo-1"
"67","F 46-144","IYS2022","Franklin","gastropod","Limacina helicina","Limacina helicina","","","< 5mm",0.06556,19.668,"IYS2022-Franklin-5-46-144-Bongo-1"
"68","F 46-144","IYS2022","Franklin","copepod","Mesocalanus tenuicornis","Mesocalanus tenuicornis","C5","","",1.57351,472.053,"IYS2022-Franklin-5-46-144-Bongo-1"
"69","F 46-144","IYS2022","Franklin","copepod","Eucalanus spp. C5-C6","Eucalanus hyalinus","C5","","",0.06556,19.668,"IYS2022-Franklin-5-46-144-Bongo-1"
"70","F 46-144","IYS2022","Franklin","copepod","Oithona atlantica C6","Oithona atlantica","C6","F","",6.29405,1888.215,"IYS2022-Franklin-5-46-144-Bongo-1"
"71","F 46-144","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus flemingeri","C1","","",1.04901,314.703,"IYS2022-Franklin-5-46-144-Bongo-1"
"72","F 46-144","IYS2022","Franklin","copepod","Neocalanus cristatus","Neocalanus cristatus","C2","","",2.09802,629.406,"IYS2022-Franklin-5-46-144-Bongo-1"
"73","F 46-144","IYS2022","Franklin","polychaete","Tomopteris spp.","Tomopteris elegans","","",">= 5mm < 10mm",0.0082,2.46,"IYS2022-Franklin-5-46-144-Bongo-1"
"74","F 46-144","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus newmani","C6","F","",2.09802,629.406,"IYS2022-Franklin-5-46-144-Bongo-1"
"75","F 46-144","IYS2022","Franklin","copepod","Neocalanus cristatus","Neocalanus cristatus","C3","","",3.14703,944.109,"IYS2022-Franklin-5-46-144-Bongo-1"
"76","F 46-144","IYS2022","Franklin","ostracod","Ostracoda","Conchoecinae spp.","","","< 5mm",2.62252,786.756,"IYS2022-Franklin-5-46-144-Bongo-1"
"77","F 46-144","IYS2022","Franklin","copepod","Metridia spp. C1-C4","Metridia spp.","C1","","",1.57351,472.053,"IYS2022-Franklin-5-46-144-Bongo-1"
"78","F 46-144","IYS2022","Franklin","copepod","Metridia aff. lucens C5-C6","Metridia aff lucens","C5","","",13.1126,3933.78,"IYS2022-Franklin-5-46-144-Bongo-1"
"79","F 46-144","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus flemingeri","C5","","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"80","F 46-144","IYS2022","Franklin","fish","Fish","Sebastes spp.","preflexion","","< 5mm",0.0082,2.46,"IYS2022-Franklin-5-46-144-Bongo-1"
"81","F 46-144","IYS2022","Franklin","copepod","Eucalanus spp. C5-C6","Eucalanus hyalinus","C6","F","",0.06556,19.668,"IYS2022-Franklin-5-46-144-Bongo-1"
"82","F 46-144","IYS2022","Franklin","copepod","Eucalanus bungii C5-C6","Eucalanus bungii","C5","M","",0.19669,59.007,"IYS2022-Franklin-5-46-144-Bongo-1"
"83","F 46-144","IYS2022","Franklin","copepod","Racovitzanus antarcticus","Racovitzanus antarcticus","C4","","",1.57351,472.053,"IYS2022-Franklin-5-46-144-Bongo-1"
"84","F 46-144","IYS2022","Franklin","copepod","Eucalanus spp. C1-C4","Eucalanus spp.","C1","","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"85","F 46-144","IYS2022","Franklin","copepod","Oncaeidae","Triconia conifera","C6","F","",1.57351,472.053,"IYS2022-Franklin-5-46-144-Bongo-1"
"86","F 46-144","IYS2022","Franklin","copepod","Racovitzanus antarcticus","Racovitzanus antarcticus","C5","","",1.04901,314.703,"IYS2022-Franklin-5-46-144-Bongo-1"
"87","F 46-144","IYS2022","Franklin","copepod","Paracalanus parvus","Paracalanus parvus","C6","M","",2.09802,629.406,"IYS2022-Franklin-5-46-144-Bongo-1"
"88","F 46-144","IYS2022","Franklin","copepod","Metridia pacifica C5-C6","Metridia pacifica","C5","F","",1.57351,472.053,"IYS2022-Franklin-5-46-144-Bongo-1"
"89","F 46-144","IYS2022","Franklin","euphausiid","Thysanoessa inspinata","Thysanoessa inspinata","juvenile","",">= 5mm < 10mm",0.01639,4.917,"IYS2022-Franklin-5-46-144-Bongo-1"
"90","F 46-144","IYS2022","Franklin","copepod","Oncaeidae","Oncaeidae spp.","C6","F","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"91","F 46-144","IYS2022","Franklin","fish","Fish","Stenobrachius leucopsarus","flexion","",">= 5mm < 10mm",0.01639,4.917,"IYS2022-Franklin-5-46-144-Bongo-1"
"92","F 46-144","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus plumchrus","C1","","",1.57351,472.053,"IYS2022-Franklin-5-46-144-Bongo-1"
"93","F 46-144","IYS2022","Franklin","copepod","Heterorhabdus spp. C3-C5","Heterorhabdus spp.","C3","","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"94","F 46-144","IYS2022","Franklin","copepod","Eucalanus bungii C5-C6","Eucalanus bungii","C6","F","",1.04901,314.703,"IYS2022-Franklin-5-46-144-Bongo-1"
"95","F 46-144","IYS2022","Franklin","euphausiid","Euphausiidae","Euphausiidae spp.","nauplius","","< 5mm",4.19603,1258.809,"IYS2022-Franklin-5-46-144-Bongo-1"
"96","F 46-144","IYS2022","Franklin","euphausiid","Euphausiidae","Euphausiidae","furcilia","","< 5mm",0.0082,2.46,"IYS2022-Franklin-5-46-144-Bongo-1"
"97","F 46-144","IYS2022","Franklin","cephalopod","Squid","Chiroteuthis spp.","larvae","","< 5mm",0.0082,2.46,"IYS2022-Franklin-5-46-144-Bongo-1"
"98","F 46-144","IYS2022","Franklin","chaetognath","Pseudosagitta lyra","Pseudosagitta scrippsae","","",">= 5mm < 10mm",0.06556,19.668,"IYS2022-Franklin-5-46-144-Bongo-1"
"99","F 46-144","IYS2022","Franklin","copepod","Scaphocalanus spp.","Scaphocalanus spp.","C5","","",1.57351,472.053,"IYS2022-Franklin-5-46-144-Bongo-1"
"100","F 46-144","IYS2022","Franklin","copepod","Scolecithricella minor","Scolecithricella minor","C4","","",1.04901,314.703,"IYS2022-Franklin-5-46-144-Bongo-1"
"101","F 46-144","IYS2022","Franklin","amphipod","Cyphocaris challengeri","Cyphocaris challengeri","","",">= 5mm < 10mm",0.06556,19.668,"IYS2022-Franklin-5-46-144-Bongo-1"
"102","F 46-144","IYS2022","Franklin","copepod","Metridia spp. C1-C4","Metridia aff lucens","C4","","",2.62252,786.756,"IYS2022-Franklin-5-46-144-Bongo-1"
"103","F 46-144","IYS2022","Franklin","copepod","Metridia aff. lucens C5-C6","Metridia aff lucens","C6","F","",5.76955,1730.865,"IYS2022-Franklin-5-46-144-Bongo-1"
"104","F 46-144","IYS2022","Franklin","ostracod","Ostracoda","Conchoecia rudjakovi","","","< 5mm",1.04901,314.703,"IYS2022-Franklin-5-46-144-Bongo-1"
"105","F 46-144","IYS2022","Franklin","copepod","Oithona spp. C3-C5","Oithona atlantica","C5","","",2.62252,786.756,"IYS2022-Franklin-5-46-144-Bongo-1"
"106","F 46-144","IYS2022","Franklin","copepod","Lucicutia flavicornis","Lucicutia flavicornis","C6","F","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"107","F 46-144","IYS2022","Franklin","copepod","Mesocalanus tenuicornis","Mesocalanus tenuicornis","C4","","",0.5245,157.35,"IYS2022-Franklin-5-46-144-Bongo-1"
"108","F 46-144","IYS2022","Franklin","copepod","Neocalanus cristatus","Neocalanus cristatus","C4","","",2.09802,629.406,"IYS2022-Franklin-5-46-144-Bongo-1"
"109","F 46-144","IYS2022","Franklin","copepod","Ctenocalanus vanus","Ctenocalanus vanus","C6","F","",1.04901,314.703,"IYS2022-Franklin-5-46-144-Bongo-1"
"110","F 46-144","IYS2022","Franklin","copepod","Scaphocalanus spp.","Scaphocalanus spp.","C4","","",1.57351,472.053,"IYS2022-Franklin-5-46-144-Bongo-1"
"111","F 46-144","IYS2022","Franklin","copepod","Ctenocalanus vanus","Ctenocalanus vanus","C4","","",1.04901,314.703,"IYS2022-Franklin-5-46-144-Bongo-1"
"112","F 46-144","IYS2022","Franklin","copepod","Mesocalanus tenuicornis","Mesocalanus tenuicornis","C2","","",2.09802,629.406,"IYS2022-Franklin-5-46-144-Bongo-1"
"113","F 46-144","IYS2022","Franklin","chaetognath","Chaetognatha","Mesosagitta minima","","",">= 5mm < 10mm",2.22914,668.742,"IYS2022-Franklin-5-46-144-Bongo-1"
"114","F 46-144","IYS2022","Franklin","decapod","Sergestidae","Sergestes similis","adult","F","",0.0082,2.46,"IYS2022-Franklin-5-46-144-Bongo-1"
"115","F 46-144","IYS2022","Franklin","decapod","Sergestidae","Sergestes spp.","mysis","",">= 5mm < 10mm",0.04098,12.294,"IYS2022-Franklin-5-46-144-Bongo-1"
"116","F 46-144","IYS2022","Franklin","gastropod","Limacina helicina","Limacina helicina acuta","","","< 2mm",18.35765,5507.295,"IYS2022-Franklin-5-46-144-Bongo-1"
"117","F 46-144","IYS2022","Franklin","decapod","Sergestidae","Sergestes spp.","mysis","","< 5mm",0.01639,4.917,"IYS2022-Franklin-5-46-144-Bongo-1"
"118","F 47-135","IYS2022","Franklin","euphausiid","Thysanoessa inspinata","Thysanoessa inspinata","juvenile","",">= 5mm < 10mm",0.14634,43.902,"IYS2022-Franklin-5-47-135-Bongo-1"
"119","F 47-135","IYS2022","Franklin","appendicularian","Oikopleura spp.","Oikopleura spp.","","","< 5mm",3.12195,936.585,"IYS2022-Franklin-5-47-135-Bongo-1"
"120","F 47-135","IYS2022","Franklin","copepod","Metridia spp. C1-C4","Metridia spp.","C3","","",5.46341,1639.023,"IYS2022-Franklin-5-47-135-Bongo-1"
"121","F 47-135","IYS2022","Franklin","copepod","Pleuromamma spp. C1-C4","Pleuromamma spp.","C1","","",0.78049,234.147,"IYS2022-Franklin-5-47-135-Bongo-1"
"122","F 47-135","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus flemingeri","C2","","",4.68293,1404.879,"IYS2022-Franklin-5-47-135-Bongo-1"
"123","F 47-135","IYS2022","Franklin","appendicularian","Fritillaria spp.","Fritillaria pellucida","","","< 5mm",14.04878,4214.634,"IYS2022-Franklin-5-47-135-Bongo-1"
"124","F 47-135","IYS2022","Franklin","copepod","Heterorhabdus spp. C3-C5","Heterorhabdus spp.","C4","","",0.78049,234.147,"IYS2022-Franklin-5-47-135-Bongo-1"
"125","F 47-135","IYS2022","Franklin","copepod","Metridia aff. lucens C5-C6","Metridia aff lucens","C5","","",5.46341,1639.023,"IYS2022-Franklin-5-47-135-Bongo-1"
"126","F 47-135","IYS2022","Franklin","copepod","Scolecithricella minor","Scolecithricella minor","C6","F","",3.12195,936.585,"IYS2022-Franklin-5-47-135-Bongo-1"
"127","F 47-135","IYS2022","Franklin","copepod","Metridia spp. C1-C4","Metridia spp.","C1","","",3.90244,1170.732,"IYS2022-Franklin-5-47-135-Bongo-1"
"128","F 47-135","IYS2022","Franklin","chaetognath","Chaetognatha","Parasagitta elegans","","","> 10mm",0.09756,29.268,"IYS2022-Franklin-5-47-135-Bongo-1"
"129","F 47-135","IYS2022","Franklin","ostracod","Ostracoda","Metaconchoecia spp.","","","< 5mm",0.78049,234.147,"IYS2022-Franklin-5-47-135-Bongo-1"
"130","F 47-135","IYS2022","Franklin","copepod","Eucalanus spp. C1-C4","Eucalanus bungii","C4","M","",0.78049,234.147,"IYS2022-Franklin-5-47-135-Bongo-1"
"131","F 47-135","IYS2022","Franklin","amphipod","Primno abyssalis","Primno abyssalis","","",">= 5mm < 10mm",0.04878,14.634,"IYS2022-Franklin-5-47-135-Bongo-1"
"132","F 47-135","IYS2022","Franklin","copepod","Neocalanus cristatus","Neocalanus cristatus","C3","","",2.34146,702.438,"IYS2022-Franklin-5-47-135-Bongo-1"
"133","F 47-135","IYS2022","Franklin","gastropod","Clione limacina","Clione limacina","polytroch","","< 2mm",2.34146,702.438,"IYS2022-Franklin-5-47-135-Bongo-1"
"134","F 47-135","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus newmani","C5","M","",0.78049,234.147,"IYS2022-Franklin-5-47-135-Bongo-1"
"135","F 47-135","IYS2022","Franklin","copepod","Paracalanus parvus","Paracalanus parvus","C6","M","",2.34146,702.438,"IYS2022-Franklin-5-47-135-Bongo-1"
"136","F 47-135","IYS2022","Franklin","copepod","Eucalanus bungii C5-C6","Eucalanus bungii","C5","F","",0.43902,131.706,"IYS2022-Franklin-5-47-135-Bongo-1"
"137","F 47-135","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus flemingeri","C4","","",0.78049,234.147,"IYS2022-Franklin-5-47-135-Bongo-1"
"138","F 47-135","IYS2022","Franklin","chaetognath","Chaetognatha","Mesosagitta minima","","",">= 5mm < 10mm",0.43902,131.706,"IYS2022-Franklin-5-47-135-Bongo-1"
"139","F 47-135","IYS2022","Franklin","appendicularian","Oikopleura spp.","Oikopleura labradoriensis","","",">= 5mm < 10mm",0.19512,58.536,"IYS2022-Franklin-5-47-135-Bongo-1"
"140","F 47-135","IYS2022","Franklin","copepod","Clausocalanus spp.","Clausocalanus arcuicornis","C6","F","",0.78049,234.147,"IYS2022-Franklin-5-47-135-Bongo-1"
"141","F 47-135","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus flemingeri","C3","","",1.56098,468.294,"IYS2022-Franklin-5-47-135-Bongo-1"
"142","F 47-135","IYS2022","Franklin","copepod","Oithona spp. C3-C5","Oithona atlantica","C5","","",9.36585,2809.755,"IYS2022-Franklin-5-47-135-Bongo-1"
"143","F 47-135","IYS2022","Franklin","gastropod","Limacina helicina","Limacina helicina acuta","","","< 2mm",6.2439,1873.17,"IYS2022-Franklin-5-47-135-Bongo-1"
"144","F 47-135","IYS2022","Franklin","copepod","Oithona similis C6","Oithona similis","C6","F","",10.14634,3043.902,"IYS2022-Franklin-5-47-135-Bongo-1"
"145","F 47-135","IYS2022","Franklin","copepod","Calocalanus styliremis","Calocalanus styliremis","C6","F","",0.78049,234.147,"IYS2022-Franklin-5-47-135-Bongo-1"
"146","F 47-135","IYS2022","Franklin","copepod","Metridia spp. C1-C4","Metridia spp.","C2","","",4.68293,1404.879,"IYS2022-Franklin-5-47-135-Bongo-1"
"147","F 47-135","IYS2022","Franklin","copepod","Oithona setigera C6","Oithona setigera","C6","F","",0.78049,234.147,"IYS2022-Franklin-5-47-135-Bongo-1"
"148","F 47-135","IYS2022","Franklin","copepod","Scolecithricella minor","Scolecithricella minor","C5","","",4.68293,1404.879,"IYS2022-Franklin-5-47-135-Bongo-1"
"149","F 47-135","IYS2022","Franklin","euphausiid","Euphausiidae","Euphausiidae spp.","calyptopis","","< 5mm",0.78049,234.147,"IYS2022-Franklin-5-47-135-Bongo-1"
"150","F 47-135","IYS2022","Franklin","ostracod","Ostracoda","Discoconchoecia elegans","","","< 5mm",3.12195,936.585,"IYS2022-Franklin-5-47-135-Bongo-1"
"151","F 47-135","IYS2022","Franklin","copepod","Mesocalanus tenuicornis","Mesocalanus tenuicornis","C3","","",0.78049,234.147,"IYS2022-Franklin-5-47-135-Bongo-1"
"152","F 47-135","IYS2022","Franklin","gastropod","Clione limacina","Clione limacina","","",">= 5mm < 10mm",0.0122,3.66,"IYS2022-Franklin-5-47-135-Bongo-1"
"153","F 47-135","IYS2022","Franklin","cnidarian","Aglantha digitale","Aglantha digitale","","","> 10mm",0.04878,14.634,"IYS2022-Franklin-5-47-135-Bongo-1"
"154","F 47-135","IYS2022","Franklin","copepod","Oithona spp. C3-C5","Oithona similis","C5","","",6.2439,1873.17,"IYS2022-Franklin-5-47-135-Bongo-1"
"155","F 47-135","IYS2022","Franklin","copepod","Euchirella spp. C1-C3","Euchirella spp.","C2","","",0.78049,234.147,"IYS2022-Franklin-5-47-135-Bongo-1"
