station_event_id,net_number,catch_id,scientific_name,verbatimIdentification,taxonomic_rank,prop_total_sample,sf_proc,prop_sf_proc,lifestage,sex,common_name,identified_by,date_identified,preservation_method,catch_count,size_range,count_method,abundance_m3,flowmeter_volume_filtered_m3,depth_volume_filtered_m3,comments
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-22,Eucalanus bungii,Eucalanus bungii,Species,,,,C5,,,,,Formalin,64,,Total,1.3044585987261146,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-23,Eucalanus bungii,Eucalanus bungii,Species,,,,C4,,,,,Formalin,64,,Total,1.3044585987261146,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-24,Eucalanus bungii,Eucalanus bungii,Species,,,,C3,,,,,Formalin,16,,Total,0.32611464968152865,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-26,Calanus marshallae,Calanus marshallae,Species,,,,C5,,,,,Formalin,8,,Total,0.16305732484076432,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-28,Neocalanus cristatus,Neocalanus cristatus,Species,,,,C5,,,,,Formalin,48,,Total,0.978343949044586,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-29,Neocalanus cristatus,Neocalanus cristatus,Species,,,,C4,,,,,Formalin,48,,Total,0.978343949044586,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-30,Neocalanus cristatus,Neocalanus cristatus,Species,,,,C3,,,,,Formalin,96,,Total,1.956687898089172,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-31,Neocalanus cristatus,Neocalanus cristatus,Species,,,,C2,,,,,Formalin,224,,Total,4.565605095541401,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-32,Neocalanus cristatus,Neocalanus cristatus,Species,,,,C1,,,,,Formalin,192,,Total,3.913375796178344,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-33,Neocalanus,Neocalanus plumchrus/flemmingi,Genus,,,,C6,female,,,,Formalin,4,,Total,0.08152866242038216,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-34,Neocalanus,Neocalanus plumchrus/flemmingi,Genus,,,,C5,,,,,Formalin,4,,Total,0.08152866242038216,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-35,Neocalanus,Neocalanus plumchrus/flemmingi,Genus,,,,C4,,,,,Formalin,48,,Total,0.978343949044586,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-36,Neocalanus,Neocalanus plumchrus/flemmingi,Genus,,,,C3,,,,,Formalin,256,,Total,5.217834394904458,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-37,Neocalanus,Neocalanus plumchrus/flemmingi,Genus,,,,C2,,,,,Formalin,448,,Total,9.131210191082802,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-38,Neocalanus,Neocalanus plumchrus/flemmingi,Genus,,,,C1,,,,,Formalin,224,,Total,4.565605095541401,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-39,Heterorhabdus tanneri,Heterorhabdus tanneri,Species,,,,C6,female,,,,Formalin,8,,Total,0.16305732484076432,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-40,Heterorhabdus tanneri,Heterorhabdus tanneri,Species,,,,C6,male,,,,Formalin,4,,Total,0.08152866242038216,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-41,Heterorhabdus tanneri,Heterorhabdus tanneri,Species,,,,C5,,,,,Formalin,4,,Total,0.08152866242038216,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-45,Euchaeta elongata,Eucheata elongata,Species,,,,C5,,,,,Formalin,4,,Total,0.08152866242038216,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-46,Euchaeta elongata,Eucheata elongata,Species,,,,C4,,,,,Formalin,4,,Total,0.08152866242038216,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-47,Euchaeta elongata,Eucheata elongata,Species,,,,C3,,,,,Formalin,4,,Total,0.08152866242038216,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-48,Euchaeta elongata,Eucheata elongata,Species,,,,C2,,,,,Formalin,4,,Total,0.08152866242038216,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-49,Candacia columbiae,Candacia columbia,Species,,,,C6,female,,,,Formalin,4,,Total,0.08152866242038216,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-50,Candacia columbiae,Candacia columbia,Species,,,,C6,male,,,,Formalin,2,,Total,0.04076433121019108,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-55,Racovitzanus antarcticus,Racovitzanus antarcticus,Species,,,,C6,female,,,,Formalin,16,,Total,0.32611464968152865,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-56,Racovitzanus antarcticus,Racovitzanus antarcticus,Species,,,,C6,male,,,,Formalin,12,,Total,0.2445859872611465,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-57,Racovitzanus antarcticus,Racovitzanus antarcticus,Species,,,,C5,,,,,Formalin,4,,Total,0.08152866242038216,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-87,Ostracoda,Ostracoda,Class,,,0.03125,,,,,,Formalin,288,1-3mm,Total,5.8700636942675155,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-88,Parathemisto pacifica,Parathemisto pacifica,Species,,,0.25,,,,,,Formalin,4,3-10mm,Total,0.08152866242038216,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-96,Euphausiidae,Euphausiidae,Family,,,0.03125,egg,,,,,Formalin,96,,Total,1.956687898089172,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-99,Euphausiidae,Euphausiidae,Family,,,,furcilia,,,,,Formalin,1,fur 5-10mm,Total,0.02038216560509554,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-100,Euphausia pacifica,Euphausia pacifica,Species,,,1,,,,,,Formalin,1,15-30mm,Total,0.02038216560509554,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-112,Aglantha digitale,Aglantha digitale,Species,,,0.125,,,,,,Formalin,24,10-20mm,Total,0.489171974522293,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-113,Polychaeta,Polycheata,Class,,,0.0625,,,,,,Formalin,16,>3mm,Total,0.32611464968152865,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-114,Tomopteris,Tomopteris,Genus,,,0.5,,,,,,Formalin,4,5-20mm,Total,0.08152866242038216,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-118,Gastropoda,Gastropoda,Class,,,0.0625,,,,,,Formalin,16,lar >1mm,Total,0.32611464968152865,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-119,Limacina helicina,Limiacina helicina,Species,,,0.03125,,,,,,Formalin,768,sm >1mm,Total,15.653503184713376,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-120,Clione limacina,Clione limacina,Species,,,0.0625,,,,,,Formalin,32,2-8mm,Total,0.6522292993630573,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-125,Eukrohnia hamata,Eukronia hamata,Species,,,0.0625,,,,,,Formalin,368,>10mm,Total,7.500636942675159,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-126,Eukrohnia hamata,Eukronia hamata,Species,,,0.0625,,,,,,Formalin,16,10-20mm,Total,0.32611464968152865,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-128,Sagitta elegans,Sagitta elegans,Species,,,0.25,,,,,,Formalin,4,10-20mm,Total,0.08152866242038216,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-129,Sagitta elegans,Sagitta elegans,Species,,,0.25,,,,,,Formalin,20,20-35mm,Total,0.40764331210191085,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-133,Salpa aspera,Salpa aspera,Species,,,0.25,,,,,,Formalin,20,10-20mm,Total,0.40764331210191085,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-134,Oikopleura,Oikopluera,Genus,,,0.03125,,,,,,Formalin,352,3-6mm,Total,7.174522292993631,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-137,Siphonophorae,Siphonophore bract,Order,,,0.0625,,,,,,Formalin,16,5-20mm,Total,0.32611464968152865,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-140,Cnidaria,Jelly fragments,Phylum,,,0.25,,,,,,Formalin,20,20mm+,Total,0.40764331210191085,49.0625,,
IYS2022-TINRO-3-1-Bongo-1,1,IYS2022-TINRO-3-1-Bongo-1-141,Pisces,Fish egg,Superclass,,,1,egg,,,,,Formalin,1,3mm,Total,0.02038216560509554,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-1,Pseudocalanus,Pseudocalanus spp.,Genus,,,,C6,female,,,,Formalin,1856,,Total,37.829299363057324,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-2,Pseudocalanus,Pseudocalanus spp.,Genus,,,,C6,male,,,,Formalin,384,,Total,7.826751592356688,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-3,Pseudocalanus,Pseudocalanus spp.,Genus,,,,C5,,,,,Formalin,1344,,Total,27.39363057324841,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-4,Pseudocalanus,Pseudocalanus spp.,Genus,,,,C4,,,,,Formalin,384,,Total,7.826751592356688,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-5,Scolecithricella minor,Scolethricella minor,Species,,,,C6,female,,,,Formalin,64,,Total,1.3044585987261146,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-7,Scolecithricella minor,Scolethricella minor,Species,,,,C45,,,,,Formalin,64,,Total,1.3044585987261146,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-9,Oithona spinirostris,Oithona spinirostris,Species,,,,C6,female,,,,Formalin,192,,Total,3.913375796178344,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-10,Oithona,Oithona spp.,Genus,,,,C5,,,,,Formalin,384,,Total,7.826751592356688,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-13,Metridia pacifica,Metridia pacifica,Species,,,,C6,female,,,,Formalin,64,,Total,1.3044585987261146,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-15,Metridia pacifica,Metridia pacifica,Species,,,,C5,,,,,Formalin,96,,Total,1.956687898089172,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-16,Metridia pacifica,Metridia pacifica,Species,,,,C4,,,,,Formalin,64,,Total,1.3044585987261146,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-17,Metridia,Metridia sp.,Genus,,,,C3,,,,,Formalin,192,,Total,3.913375796178344,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-18,Metridia,Metridia sp.,Genus,,,,C2,,,,,Formalin,192,,Total,3.913375796178344,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-19,Metridia,Metridia sp.,Genus,,,,C1,,,,,Formalin,128,,Total,2.608917197452229,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-20,Eucalanus bungii,Eucalanus bungii,Species,,,,C6,female,,,,Formalin,2,,Total,0.04076433121019108,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-21,Eucalanus bungii,Eucalanus bungii,Species,,,,C6,male,,,,Formalin,2,,Total,0.04076433121019108,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-22,Eucalanus bungii,Eucalanus bungii,Species,,,,C5,,,,,Formalin,48,,Total,0.978343949044586,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-23,Eucalanus bungii,Eucalanus bungii,Species,,,,C4,,,,,Formalin,128,,Total,2.608917197452229,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-24,Eucalanus bungii,Eucalanus bungii,Species,,,,C3,,,,,Formalin,64,,Total,1.3044585987261146,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-28,Neocalanus cristatus,Neocalanus cristatus,Species,,,,C5,,,,,Formalin,64,,Total,1.3044585987261146,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-29,Neocalanus cristatus,Neocalanus cristatus,Species,,,,C4,,,,,Formalin,160,,Total,3.261146496815287,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-30,Neocalanus cristatus,Neocalanus cristatus,Species,,,,C3,,,,,Formalin,384,,Total,7.826751592356688,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-31,Neocalanus cristatus,Neocalanus cristatus,Species,,,,C2,,,,,Formalin,512,,Total,10.435668789808917,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-32,Neocalanus cristatus,Neocalanus cristatus,Species,,,,C1,,,,,Formalin,128,,Total,2.608917197452229,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-34,Neocalanus,Neocalanus plumchrus/flemmingi,Genus,,,,C5,,,,,Formalin,32,,Total,0.6522292993630573,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-35,Neocalanus,Neocalanus plumchrus/flemmingi,Genus,,,,C4,,,,,Formalin,32,,Total,0.6522292993630573,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-36,Neocalanus,Neocalanus plumchrus/flemmingi,Genus,,,,C3,,,,,Formalin,448,,Total,9.131210191082802,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-37,Neocalanus,Neocalanus plumchrus/flemmingi,Genus,,,,C2,,,,,Formalin,704,,Total,14.349044585987262,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-38,Neocalanus,Neocalanus plumchrus/flemmingi,Genus,,,,C1,,,,,Formalin,1088,,Total,22.175796178343948,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-39,Heterorhabdus tanneri,Heterorhabdus tanneri,Species,,,,C6,female,,,,Formalin,2,,Total,0.04076433121019108,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-41,Heterorhabdus tanneri,Heterorhabdus tanneri,Species,,,,C5,,,,,Formalin,4,,Total,0.08152866242038216,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-47,Euchaeta elongata,Eucheata elongata,Species,,,,C3,,,,,Formalin,4,,Total,0.08152866242038216,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-48,Euchaeta elongata,Eucheata elongata,Species,,,,C2,,,,,Formalin,32,,Total,0.6522292993630573,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-55,Racovitzanus antarcticus,Racovitzanus antarcticus,Species,,,,C6,female,,,,Formalin,64,,Total,1.3044585987261146,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-57,Racovitzanus antarcticus,Racovitzanus antarcticus,Species,,,,C5,,,,,Formalin,64,,Total,1.3044585987261146,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-62,Aetideidae,Aetideidae,Family,,,,C4,,,,,Formalin,32,,Total,0.6522292993630573,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-87,Ostracoda,Ostracoda,Class,,,0.03125,,,,,,Formalin,128,1-3mm,Total,2.608917197452229,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-88,Parathemisto pacifica,Parathemisto pacifica,Species,,,0.03125,,,,,,Formalin,96,3-10mm,Total,1.956687898089172,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-90,Primno macropa,Primno macropa,Species,,,0.5,,,,,,Formalin,2,5-15mm,Total,0.04076433121019108,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-96,Euphausiidae,Euphausiidae,Family,,,0.015625,egg,,,,,Formalin,256,,Total,5.217834394904458,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-98,Euphausiidae,Euphausiidae,Family,,,0.125,cal,,,,,Formalin,8,,Total,0.16305732484076432,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-112,Aglantha digitale,Aglantha digitale,Species,,,0.25,,,,,,Formalin,20,10-20mm,Total,0.40764331210191085,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-114,Tomopteris,Tomopteris,Genus,,,0.125,,,,,,Formalin,40,5-20mm,Total,0.8152866242038217,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-119,Limacina helicina,Limiacina helicina,Species,,,0.015625,,,,,,Formalin,384,sm >1mm,Total,7.826751592356688,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-120,Clione limacina,Clione limacina,Species,,,0.125,,,,,,Formalin,8,2-8mm,Total,0.16305732484076432,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-125,Eukrohnia hamata,Eukronia hamata,Species,,,0.03125,,,,,,Formalin,352,>10mm,Total,7.174522292993631,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-126,Eukrohnia hamata,Eukronia hamata,Species,,,0.03125,,,,,,Formalin,32,10-20mm,Total,0.6522292993630573,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-129,Sagitta elegans,Sagitta elegans,Species,,,0.25,,,,,,Formalin,12,20-35mm,Total,0.2445859872611465,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-133,Salpa aspera,Salpa aspera,Species,,,0.03125,,,,,,Formalin,128,10-20mm,Total,2.608917197452229,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-134,Oikopleura,Oikopluera,Genus,,,0.015625,,,,,,Formalin,960,3-6mm,Total,19.56687898089172,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-137,Siphonophorae,Siphonophore bract,Order,,,0.0625,,,,,,Formalin,16,5-20mm,Total,0.32611464968152865,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-141,Pisces,Fish egg,Superclass,,,0.25,egg,,,,,Formalin,8,3mm,Total,0.16305732484076432,49.0625,,
IYS2022-TINRO-3-3-Bongo-1,1,IYS2022-TINRO-3-3-Bongo-1-144,Zoanthidea,Pumkin boy (unknown critter) could be sea anemone larvae,Order,,,0.125,larvae,,,,,Formalin,8,1-2mm,Total,0.16305732484076432,49.0625,,
IYS2022-TINRO-3-4-Bongo-1,1,IYS2022-TINRO-3-4-Bongo-1-1,Pseudocalanus,Pseudocalanus spp.,Genus,,,,C6,female,,,,Formalin,4224,,Total,86.09426751592356,49.0625,,
IYS2022-TINRO-3-4-Bongo-1,1,IYS2022-TINRO-3-4-Bongo-1-2,Pseudocalanus,Pseudocalanus spp.,Genus,,,,C6,male,,,,Formalin,640,,Total,13.044585987261147,49.0625,,
IYS2022-TINRO-3-4-Bongo-1,1,IYS2022-TINRO-3-4-Bongo-1-3,Pseudocalanus,Pseudocalanus spp.,Genus,,,,C5,,,,,Formalin,1536,,Total,31.30700636942675,49.0625,,
IYS2022-TINRO-3-4-Bongo-1,1,IYS2022-TINRO-3-4-Bongo-1-4,Pseudocalanus,Pseudocalanus spp.,Genus,,,,C4,,,,,Formalin,384,,Total,7.826751592356688,49.0625,,
IYS2022-TINRO-3-4-Bongo-1,1,IYS2022-TINRO-3-4-Bongo-1-5,Scolecithricella minor,Scolethricella minor,Species,,,,C6,female,,,,Formalin,64,,Total,1.3044585987261146,49.0625,,
IYS2022-TINRO-3-4-Bongo-1,1,IYS2022-TINRO-3-4-Bongo-1-7,Scolecithricella minor,Scolethricella minor,Species,,,,C45,,,,,Formalin,64,,Total,1.3044585987261146,49.0625,,
IYS2022-TINRO-3-4-Bongo-1,1,IYS2022-TINRO-3-4-Bongo-1-9,Oithona spinirostris,Oithona spinirostris,Species,,,,C6,female,,,,Formalin,192,,Total,3.913375796178344,49.0625,,
IYS2022-TINRO-3-4-Bongo-1,1,IYS2022-TINRO-3-4-Bongo-1-13,Metridia pacifica,Metridia pacifica,Species,,,,C6,female,,,,Formalin,256,,Total,5.217834394904458,49.0625,,
IYS2022-TINRO-3-4-Bongo-1,1,IYS2022-TINRO-3-4-Bongo-1-15,Metridia pacifica,Metridia pacifica,Species,,,,C5,,,,,Formalin,448,,Total,9.131210191082802,49.0625,,
IYS2022-TINRO-3-4-Bongo-1,1,IYS2022-TINRO-3-4-Bongo-1-16,Metridia pacifica,Metridia pacifica,Species,,,,C4,,,,,Formalin,192,,Total,3.913375796178344,49.0625,,
